FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling
1085, 06/15/2020, 20:30:00," ""...""",0.06912919,0.0658026,0.0706095,,,,
1084, 06/15/2020, 20:40:00," ""...""",0.03419749,0.03010545,0.03351467,,,,
1083, 06/15/2020, 20:50:00," ""...""",0.04535458,0.04004858,0.0408881,,,,
1082, 06/15/2020, 21:00:00," ""...""",0.05626402,0.05392812,0.05994502,,,,
1081, 06/15/2020, 21:10:00," ""...""",0.06432498,0.05733614,0.05967296,,,,
1080, 06/15/2020, 21:20:00," ""...""",0.04393873,0.0457299,0.04196184,,,,
1079, 06/15/2020, 21:30:00," ""...""",0.04484372,0.04345467,0.0380757,,,,
1078, 06/15/2020, 21:40:00," ""...""",0.05039125,0.04742789,0.0426884,,,,
1077, 06/15/2020, 21:50:00," ""...""",0.05532891,0.04893896,0.0532831,,,,
1076, 06/15/2020, 22:00:00," ""...""",0.04279876,0.03961954,0.03714031,,,,
1075, 06/15/2020, 22:10:00," ""...""",0.03480133,0.03089981,0.02683411,,,,
1074, 06/15/2020, 22:20:00," ""...""",0.06251092,0.05992961,0.06157296,,,,
1073, 06/15/2020, 22:30:00," ""...""",0.04876191,0.04380986,0.04320761,,,,
1072, 06/15/2020, 22:40:00," ""...""",0.07675703,0.07108524,0.07089764,,,,
1071, 06/15/2020, 22:50:00," ""...""",0.06274068,0.06368307,0.06288493,,,,
1070, 06/15/2020, 23:00:00," ""...""",0.27123854,0.28053612,0.27298054,,,,
1069, 06/15/2020, 23:10:00," ""...""",0.11767794,0.11320562,0.1072166,,,,
1068, 06/15/2020, 23:20:00," ""...""",0.08039672,0.07484167,0.07215153,,,,
1067, 06/15/2020, 23:30:00," ""...""",0.1105543,0.10687636,0.11139003,,,,
1066, 06/15/2020, 23:40:00," ""...""",0.1123642,0.10964372,0.11391843,,,,
1065, 06/15/2020, 23:50:00," ""...""",0.12122515,0.1221873,0.12857734,,,,
1064, 06/16/2020, 00:00:00," ""...""",0.11845739,0.12973453,0.12839764,,,,
1063, 06/16/2020, 00:10:00," ""...""",0.16431221,0.1683636,0.1721784,,,,
1062, 06/16/2020, 00:20:00," ""...""",0.09003302,0.08696505,0.08943699,,,,
1061, 06/16/2020, 00:30:00," ""...""",0.09447364,0.09215186,0.09932878,,,,
1060, 06/16/2020, 00:40:00," ""...""",0.10088147,0.10095615,0.11014436,,,,
1059, 06/16/2020, 00:50:00," ""...""",0.06435103,0.06382872,0.06362348,,,,
1058, 06/16/2020, 01:00:00," ""...""",0.09977156,0.09668527,0.10502003,,,,
1057, 06/16/2020, 01:10:00," ""...""",0.1603073,0.16311485,0.16110246,,,,
1056, 06/16/2020, 01:20:00," ""...""",0.10722662,0.11253943,0.11222582,,,,
1055, 06/16/2020, 01:30:00," ""...""",0.09641404,0.09723724,0.10662477,,,,
1054, 06/16/2020, 01:40:00," ""...""",0.06105591,0.05887515,0.0598336,,,,
1053, 06/16/2020, 01:50:00," ""...""",0.04514786,0.040468,0.04248218,,,,
1052, 06/16/2020, 02:00:00," ""...""",0.17514876,0.16960555,0.16097324,,,,
1051, 06/16/2020, 02:10:00," ""...""",0.11532275,0.11936071,0.12443066,,,,
1050, 06/16/2020, 02:20:00," ""...""",0.12536837,0.1333275,0.13611913,,,,
1049, 06/16/2020, 02:30:00," ""...""",0.10333249,0.10271507,0.10547037,,,,
1048, 06/16/2020, 02:40:00," ""...""",0.06290483,0.06303693,0.06352877,,,,
1047, 06/16/2020, 02:50:00," ""...""",0.05889319,0.05480426,0.05781478,,,,
1046, 06/16/2020, 03:00:00," ""...""",0.13748729,0.15110062,0.13562189,,,,
1045, 06/16/2020, 03:10:00," ""...""",0.08502486,0.09029619,0.08819205,,,,
1044, 06/16/2020, 03:20:00," ""...""",0.063851,0.05976626,0.06187534,,,,
1043, 06/16/2020, 03:30:00," ""...""",0.09813871,0.09179259,0.10085666,,,,
1042, 06/16/2020, 03:40:00," ""...""",0.08284446,0.082403,0.08534247,,,,
1041, 06/16/2020, 03:50:00," ""...""",0.08167754,0.08480972,0.08470619,,,,
1040, 06/16/2020, 04:00:00," ""...""",0.16266158,0.16616575,0.16366836,,,,
1039, 06/16/2020, 04:10:00," ""...""",0.14252251,0.14073204,0.13672639,,,,
1038, 06/16/2020, 04:20:00," ""...""",0.10353354,0.10684109,0.1117765,,,,
1037, 06/16/2020, 04:30:00," ""...""",0.10148775,0.10699528,0.11375988,,,,
1036, 06/16/2020, 04:40:00," ""...""",0.09888697,0.10715525,0.10614869,,,,
1035, 06/16/2020, 04:50:00," ""...""",0.12305875,0.12904753,0.12891915,,,,
1034, 06/16/2020, 05:00:00," ""...""",0.14133775,0.14113103,0.14455131,,,,
1033, 06/16/2020, 05:10:00," ""...""",0.09372953,0.09370239,0.10033192,,,,
1032, 06/16/2020, 05:20:00," ""...""",0.09204276,0.09017216,0.09355395,,,,
1031, 06/16/2020, 05:30:00," ""...""",0.08995757,0.08891832,0.09316918,,,,
1030, 06/16/2020, 05:40:00," ""...""",0.1371799,0.14346664,0.13794832,,,,
1029, 06/16/2020, 05:50:00," ""...""",0.10795204,0.10904519,0.10336412,,,,
1028, 06/16/2020, 06:00:00," ""...""",0.09412798,0.09476838,0.09766384,,,,
1027, 06/16/2020, 06:10:00," ""...""",0.09094228,0.09393023,0.09729788,,,,
1026, 06/16/2020, 06:20:00," ""...""",0.0726743,0.06495526,0.0716209,,,,
1025, 06/16/2020, 06:30:00," ""...""",0.10360461,0.09989375,0.09410025,,,,
1024, 06/16/2020, 06:40:00," ""...""",0.17093486,0.16829245,0.17284815,,,,
1023, 06/16/2020, 06:50:00," ""...""",0.11982077,0.1255682,0.12019863,,,,
1022, 06/16/2020, 07:00:00," ""...""",0.09351429,0.09187031,0.0900941,,,,
1021, 06/16/2020, 07:10:00," ""...""",0.08529702,0.09127709,0.09358346,,,,
1020, 06/16/2020, 07:20:00," ""...""",0.12421354,0.1215191,0.12275663,,,,
1019, 06/16/2020, 07:30:00," ""...""",0.15051346,0.15764347,0.16218242,,,,
1018, 06/16/2020, 07:40:00," ""...""",0.1477437,0.14242168,0.13802567,,,,
1017, 06/16/2020, 07:50:00," ""...""",0.08908986,0.0834424,0.08886379,,,,
1016, 06/16/2020, 08:00:00," ""...""",0.07278005,0.07401759,0.07555633,,,,
1015, 06/16/2020, 08:10:00," ""...""",0.10381733,0.10612821,0.10207816,,,,
1014, 06/16/2020, 08:20:00," ""...""",0.13546225,0.13849381,0.145374,,,,
1013, 06/16/2020, 08:30:00," ""...""",0.11612566,0.11861928,0.12736633,,,,
1012, 06/16/2020, 08:40:00," ""...""",0.19367971,0.19015734,0.1883038,,,,
1011, 06/16/2020, 08:50:00," ""...""",0.07933225,0.07673744,0.07724825,,,,
1010, 06/16/2020, 09:00:00," ""...""",0.1478211,0.15088528,0.15772299,,,,
1009, 06/16/2020, 09:10:00," ""...""",0.11933917,0.12593465,0.12949705,,,,
1008, 06/16/2020, 09:20:00," ""...""",0.13836867,0.1442441,0.14735259,,,,
1007, 06/16/2020, 09:30:00," ""...""",0.11171221,0.11692517,0.12025824,,,,
1006, 06/16/2020, 09:40:00," ""...""",0.14463505,0.15261675,0.14968887,,,,
1005, 06/16/2020, 09:50:00," ""...""",0.07748488,0.07885946,0.08087689,,,,
1004, 06/16/2020, 10:00:00," ""...""",0.10894646,0.11028863,0.11218451,,,,
1003, 06/16/2020, 10:10:00," ""...""",0.1434232,0.15132147,0.15267415,,,,
1002, 06/16/2020, 10:20:00," ""...""",0.10847738,0.10852579,0.11224009,,,,
1001, 06/16/2020, 10:30:00," ""...""",0.12012331,0.11800497,0.12102928,,,,
1000, 06/16/2020, 10:40:00," ""...""",0.50397211,0.15963273,0.14576089,,,,
999, 06/16/2020, 10:50:00," ""...""",0.12539464,0.13096948,0.11783656,,,,
998, 06/16/2020, 11:00:00," ""...""",0.14330113,0.15060215,0.14248273,,,,
997, 06/16/2020, 11:10:00," ""...""",0.11133821,0.1143784,0.11772973,,,,
996, 06/16/2020, 11:20:00," ""...""",0.10578447,0.11193249,0.11021889,,,,
995, 06/16/2020, 11:30:00," ""...""",0.10771212,0.11224626,0.11346575,,,,
994, 06/16/2020, 11:40:00," ""...""",0.10501835,0.10691076,0.1053201,,,,
993, 06/16/2020, 11:50:00," ""...""",0.13601358,0.144022,0.13964452,,,,
992, 06/16/2020, 12:00:00," ""...""",0.10101505,0.10736512,0.10726556,,,,
991, 06/16/2020, 12:10:00," ""...""",0.09597984,0.09577833,0.09556779,,,,
990, 06/16/2020, 12:20:00," ""...""",0.11231551,0.11185975,0.11799341,,,,
989, 06/16/2020, 12:30:00," ""...""",0.09900723,0.1055969,0.10952123,,,,
988, 06/16/2020, 12:40:00," ""...""",0.07154893,0.07333541,0.07356384,,,,
987, 06/16/2020, 12:50:00," ""...""",0.14123313,0.1417878,0.14566268,,,,
986, 06/16/2020, 13:00:00," ""...""",0.116822,0.11707428,0.11587045,,,,
985, 06/16/2020, 13:10:00," ""...""",0.11566733,0.11665089,0.12321758,,,,
984, 06/16/2020, 13:20:00," ""...""",0.1163151,0.12179972,0.12352138,,,,
983, 06/16/2020, 13:30:00," ""...""",0.08432777,0.08091471,0.07778596,,,,
982, 06/16/2020, 13:40:00," ""...""",0.16125225,0.16271876,0.14991738,,,,
981, 06/16/2020, 13:50:00," ""...""",0.12608607,0.13517925,0.13066794,,,,
980, 06/16/2020, 14:00:00," ""...""",0.12135114,0.12806714,0.1242294,,,,
979, 06/16/2020, 14:10:00," ""...""",0.13281672,0.14112429,0.14479858,,,,
978, 06/16/2020, 14:20:00," ""...""",0.11562529,0.12268398,0.12419061,,,,
977, 06/16/2020, 14:30:00," ""...""",0.08630935,0.08911673,0.08938303,,,,
976, 06/16/2020, 14:40:00," ""...""",0.14041094,0.14328235,0.14234869,,,,
975, 06/16/2020, 14:50:00," ""...""",0.09500208,0.09873092,0.09655928,,,,
974, 06/16/2020, 15:00:00," ""...""",0.10337661,0.10552927,0.10887405,,,,
973, 06/16/2020, 15:10:00," ""...""",0.10633709,0.11065897,0.11319401,,,,
972, 06/16/2020, 15:20:00," ""...""",0.10980471,0.11285635,0.11613064,,,,
971, 06/16/2020, 15:30:00," ""...""",0.10643486,0.10598457,0.10791364,,,,
970, 06/16/2020, 15:40:00," ""...""",0.1237727,0.12768833,0.12037707,,,,
969, 06/16/2020, 15:50:00," ""...""",0.10891266,0.10413424,0.11149694,,,,
968, 06/16/2020, 16:00:00," ""...""",0.11850477,0.12379366,0.12725157,,,,
967, 06/16/2020, 16:10:00," ""...""",0.11193688,0.11095061,0.11761689,,,,
966, 06/16/2020, 16:20:00," ""...""",0.09187927,0.09282789,0.09326606,,,,
965, 06/16/2020, 16:30:00," ""...""",0.07500855,0.07331803,0.0795707,,,,
964, 06/16/2020, 16:40:00," ""...""",0.13845886,0.13775092,0.13902637,,,,
963, 06/16/2020, 16:50:00," ""...""",0.12979893,0.13442889,0.13803793,,,,
962, 06/16/2020, 17:00:00," ""...""",0.12023895,0.12112851,0.12954219,,,,
961, 06/16/2020, 17:10:00," ""...""",0.10458327,0.10728847,0.10758122,,,,
960, 06/16/2020, 17:20:00," ""...""",0.07554889,0.08469947,0.07290652,,,,
959, 06/16/2020, 17:30:00," ""...""",0.08131184,0.07775328,0.08025748,,,,
958, 06/16/2020, 17:40:00," ""...""",0.11506578,0.12104379,0.12563089,,,,
957, 06/16/2020, 17:50:00," ""...""",0.10398807,0.10690775,0.11584351,,,,
956, 06/16/2020, 18:00:00," ""...""",0.10715335,0.11447491,0.11421748,,,,
955, 06/16/2020, 18:10:00," ""...""",0.07472747,0.07686725,0.07878664,,,,
954, 06/16/2020, 18:20:00," ""...""",0.05408233,0.05217898,0.05179949,,,,
953, 06/16/2020, 18:30:00," ""...""",0.10055951,0.10618825,0.10314281,,,,
952, 06/16/2020, 18:40:00," ""...""",0.10080722,0.10835574,0.11234689,,,,
951, 06/16/2020, 18:50:00," ""...""",0.08902209,0.09221561,0.09167407,,,,
950, 06/16/2020, 19:00:00," ""...""",0.09523252,0.10531099,0.10212892,,,,
949, 06/16/2020, 19:10:00," ""...""",0.04826693,0.05045184,0.04530295,,,,
948, 06/16/2020, 19:20:00," ""...""",0.04525976,0.04406549,0.04320871,,,,
947, 06/16/2020, 19:30:00," ""...""",0.12435623,0.1257444,0.12910341,,,,
946, 06/16/2020, 19:40:00," ""...""",0.10986237,0.11729365,0.117603,,,,
945, 06/16/2020, 19:50:00," ""...""",0.09246286,0.10262749,0.10246716,,,,
944, 06/16/2020, 20:00:00," ""...""",0.08568258,0.08739966,0.08780281,,,,
943, 06/16/2020, 20:10:00," ""...""",0.03677732,0.04251024,0.04346299,,,,
942, 06/16/2020, 20:20:00," ""...""",0.02267186,0.02101683,0.02324941,,,,
941, 06/16/2020, 20:30:00," ""...""",0.0309414,0.02795855,0.02967099,,,,
940, 06/16/2020, 20:40:00," ""...""",0.021489,0.01652652,0.02033148,,,,
939, 06/16/2020, 20:50:00," ""...""",0.03827387,0.03754487,0.04742893,,,,
938, 06/16/2020, 21:00:00," ""...""",0.04631185,0.04425127,0.04939742,,,,
937, 06/16/2020, 21:10:00," ""...""",0.05190026,0.04446718,0.04293669,,,,
936, 06/16/2020, 21:20:00," ""...""",0.03225728,0.03321119,0.03084878,,,,
935, 06/16/2020, 21:30:00," ""...""",0.03942301,0.04042713,0.03906664,,,,
934, 06/16/2020, 21:40:00," ""...""",0.04082169,0.04235361,0.03805432,,,,
933, 06/16/2020, 21:50:00," ""...""",0.03933192,0.03846506,0.03804851,,,,
932, 06/16/2020, 22:00:00," ""...""",0.03394292,0.03335578,0.03225024,,,,
931, 06/16/2020, 22:10:00," ""...""",0.05913744,0.05887043,0.05862856,,,,
930, 06/16/2020, 22:20:00," ""...""",0.05025732,0.04412388,0.04392318,,,,
929, 06/16/2020, 22:30:00," ""...""",0.04794438,0.04390865,0.04141345,,,,
928, 06/16/2020, 22:40:00," ""...""",0.05043393,0.05018147,0.04796644,,,,
927, 06/16/2020, 22:50:00," ""...""",0.11942404,0.11175551,0.11269557,,,,
926, 06/16/2020, 23:00:00," ""...""",0.18089564,0.15245074,0.17657597,,,,
925, 06/16/2020, 23:10:00," ""...""",0.12142146,0.12235285,0.12405058,,,,
924, 06/16/2020, 23:20:00," ""...""",0.16848554,0.1785619,0.17724748,,,,
923, 06/16/2020, 23:30:00," ""...""",0.11679625,0.12867044,0.13143888,,,,
922, 06/16/2020, 23:40:00," ""...""",0.10213635,0.10156652,0.10312766,,,,
921, 06/16/2020, 23:50:00," ""...""",0.10738307,0.11924826,0.12225059,,,,
920, 06/17/2020, 00:00:00," ""...""",0.17448105,0.16365154,0.18320027,,,,
919, 06/17/2020, 00:10:00," ""...""",0.12205638,0.11798113,0.12299339,,,,
918, 06/17/2020, 00:20:00," ""...""",0.10328309,0.10561923,0.10629332,,,,
917, 06/17/2020, 00:30:00," ""...""",0.09974991,0.10066113,0.10920239,,,,
916, 06/17/2020, 00:40:00," ""...""",0.12910111,0.14662711,0.15406469,,,,
915, 06/17/2020, 00:50:00," ""...""",0.13394158,0.13865598,0.15595388,,,,
914, 06/17/2020, 01:00:00," ""...""",0.09418014,0.09477086,0.09927937,,,,
913, 06/17/2020, 01:10:00," ""...""",0.10985437,0.11352493,0.11427785,,,,
912, 06/17/2020, 01:20:00," ""...""",0.09031644,0.09787495,0.10440953,,,,
911, 06/17/2020, 01:30:00," ""...""",0.15975082,0.17122708,0.16740678,,,,
910, 06/17/2020, 01:40:00," ""...""",0.12338286,0.11960556,0.12635367,,,,
909, 06/17/2020, 01:50:00," ""...""",0.08432747,0.08716177,0.08773813,,,,
908, 06/17/2020, 02:00:00," ""...""",0.07880111,0.0770525,0.07527284,,,,
907, 06/17/2020, 02:10:00," ""...""",0.1699288,0.1779235,0.1763225,,,,
906, 06/17/2020, 02:20:00," ""...""",0.14515264,0.15135995,0.16605839,,,,
905, 06/17/2020, 02:30:00," ""...""",0.12553325,0.13356027,0.14126964,,,,
904, 06/17/2020, 02:40:00," ""...""",0.11915863,0.12785302,0.13162701,,,,
903, 06/17/2020, 02:50:00," ""...""",0.08234259,0.08444541,0.08385128,,,,
902, 06/17/2020, 03:00:00," ""...""",0.09445509,0.08597641,0.08568642,,,,
901, 06/17/2020, 03:10:00," ""...""",0.1498888,0.15691803,0.15461588,,,,
900, 06/17/2020, 03:20:00," ""...""",0.12664369,0.12259138,0.12941761,,,,
899, 06/17/2020, 03:30:00," ""...""",0.12199838,0.12448404,0.12930036,,,,
898, 06/17/2020, 03:40:00," ""...""",0.1196216,0.1208917,0.12524825,,,,
897, 06/17/2020, 03:50:00," ""...""",0.07934818,0.08388367,0.08305295,,,,
896, 06/17/2020, 04:00:00," ""...""",0.14632843,0.14366505,0.14017785,,,,
895, 06/17/2020, 04:10:00," ""...""",0.08026791,0.08149754,0.08345023,,,,
894, 06/17/2020, 04:20:00," ""...""",0.09176633,0.09144584,0.09823622,,,,
893, 06/17/2020, 04:30:00," ""...""",0.04787869,0.04482044,0.04560338,,,,
892, 06/17/2020, 04:40:00," ""...""",0.14709766,0.15786062,0.14740729,,,,
891, 06/17/2020, 04:50:00," ""...""",0.13962337,0.14900887,0.15065365,,,,
890, 06/17/2020, 05:00:00," ""...""",0.1411816,0.14145879,0.14866382,,,,
889, 06/17/2020, 05:10:00," ""...""",0.11942511,0.11949255,0.12692897,,,,
888, 06/17/2020, 05:20:00," ""...""",0.09390812,0.09937678,0.10636117,,,,
887, 06/17/2020, 05:30:00," ""...""",0.11566161,0.11080247,0.10718811,,,,
886, 06/17/2020, 05:40:00," ""...""",0.13713303,0.14383236,0.15147164,,,,
885, 06/17/2020, 05:50:00," ""...""",0.11928451,0.12335212,0.13177313,,,,
884, 06/17/2020, 06:00:00," ""...""",0.13918002,0.14075002,0.15276678,,,,
883, 06/17/2020, 06:10:00," ""...""",0.12568001,0.12632076,0.14026788,,,,
882, 06/17/2020, 06:20:00," ""...""",0.17989799,0.18254563,0.18979134,,,,
881, 06/17/2020, 06:30:00," ""...""",0.1668964,0.18070939,0.17688482,,,,
880, 06/17/2020, 06:40:00," ""...""",0.09310331,0.09794472,0.1005036,,,,
879, 06/17/2020, 06:50:00," ""...""",0.12179109,0.13289186,0.13853799,,,,
878, 06/17/2020, 07:00:00," ""...""",0.10957901,0.11471498,0.12741539,,,,
877, 06/17/2020, 07:10:00," ""...""",0.15954573,0.15592451,0.15598859,,,,
876, 06/17/2020, 07:20:00," ""...""",0.12015539,0.11675097,0.11755325,,,,
875, 06/17/2020, 07:30:00," ""...""",0.11672347,0.11890144,0.1245654,,,,
874, 06/17/2020, 07:40:00," ""...""",0.11456277,0.11002228,0.11012107,,,,
873, 06/17/2020, 07:50:00," ""...""",0.09815991,0.10477883,0.10555274,,,,
872, 06/17/2020, 08:00:00," ""...""",0.18139309,0.1837326,0.17205583,,,,
871, 06/17/2020, 08:10:00," ""...""",0.14565818,0.14971803,0.16186243,,,,
870, 06/17/2020, 08:20:00," ""...""",0.11802372,0.12269913,0.13154775,,,,
869, 06/17/2020, 08:30:00," ""...""",0.14020462,0.13985883,0.14236176,,,,
868, 06/17/2020, 08:40:00," ""...""",0.11060448,0.11216483,0.11250206,,,,
867, 06/17/2020, 08:50:00," ""...""",0.12997161,0.1297372,0.12960991,,,,
866, 06/17/2020, 09:00:00," ""...""",0.15238662,0.15747184,0.16612072,,,,
865, 06/17/2020, 09:10:00," ""...""",0.11718243,0.12563333,0.12827927,,,,
864, 06/17/2020, 09:20:00," ""...""",0.12153041,0.13235289,0.13508055,,,,
863, 06/17/2020, 09:30:00," ""...""",0.12875,0.12509876,0.13299534,,,,
862, 06/17/2020, 09:40:00," ""...""",0.11776233,0.11497355,0.10313548,,,,
861, 06/17/2020, 09:50:00," ""...""",0.12510501,0.1319308,0.13934252,,,,
860, 06/17/2020, 10:00:00," ""...""",0.13542995,0.13950768,0.1459921,,,,
859, 06/17/2020, 10:10:00," ""...""",0.09714673,0.10052496,0.1060814,,,,
858, 06/17/2020, 10:20:00," ""...""",0.14678104,0.14560017,0.14992575,,,,
857, 06/17/2020, 10:30:00," ""...""",0.12570389,0.1254334,0.12759003,,,,
856, 06/17/2020, 10:40:00," ""...""",0.08937235,0.0941168,0.09562672,,,,
855, 06/17/2020, 10:50:00," ""...""",0.07638878,0.08106931,0.07698102,,,,
854, 06/17/2020, 11:00:00," ""...""",0.0956618,0.1020695,0.10107067,,,,
853, 06/17/2020, 11:10:00," ""...""",0.14728466,0.14653301,0.14368574,,,,
852, 06/17/2020, 11:20:00," ""...""",0.09053247,0.09366758,0.0966069,,,,
851, 06/17/2020, 11:30:00," ""...""",0.10050733,0.09154964,0.09941303,,,,
850, 06/17/2020, 11:40:00," ""...""",0.09450598,0.09554172,0.10300116,,,,
849, 06/17/2020, 11:50:00," ""...""",0.09704071,0.1029084,0.10164968,,,,
848, 06/17/2020, 12:00:00," ""...""",0.1202048,0.12901385,0.13587801,,,,
847, 06/17/2020, 12:10:00," ""...""",0.15636794,0.15625075,0.15972072,,,,
846, 06/17/2020, 12:20:00," ""...""",0.14109506,0.1478903,0.15015979,,,,
845, 06/17/2020, 12:30:00," ""...""",0.10497708,0.10883344,0.11439218,,,,
844, 06/17/2020, 12:40:00," ""...""",0.08766815,0.08608549,0.08898493,,,,
843, 06/17/2020, 12:50:00," ""...""",0.09029817,0.09121274,0.09197263,,,,
842, 06/17/2020, 13:00:00," ""...""",0.13125108,0.12566958,0.12750892,,,,
841, 06/17/2020, 13:10:00," ""...""",0.10259899,0.0968421,0.09803167,,,,
840, 06/17/2020, 13:20:00," ""...""",0.1153718,0.12132468,0.12412959,,,,
839, 06/17/2020, 13:30:00," ""...""",0.13655391,0.14109261,0.14199777,,,,
838, 06/17/2020, 13:40:00," ""...""",0.13316151,0.13802119,0.14671507,,,,
837, 06/17/2020, 13:50:00," ""...""",0.12412827,0.12586673,0.12585561,,,,
836, 06/17/2020, 14:00:00," ""...""",0.10432059,0.10779203,0.11103442,,,,
835, 06/17/2020, 14:10:00," ""...""",0.08345038,0.08155692,0.08621152,,,,
834, 06/17/2020, 14:20:00," ""...""",0.10719234,0.11054265,0.1139091,,,,
833, 06/17/2020, 14:30:00," ""...""",0.13571124,0.14026441,0.14372097,,,,
832, 06/17/2020, 14:40:00," ""...""",0.13167171,0.1372779,0.14146523,,,,
831, 06/17/2020, 14:50:00," ""...""",0.07831732,0.08099601,0.08500741,,,,
830, 06/17/2020, 15:00:00," ""...""",0.08812157,0.09393871,0.09810112,,,,
829, 06/17/2020, 15:10:00," ""...""",0.12039031,0.12899785,0.12712125,,,,
828, 06/17/2020, 15:20:00," ""...""",0.12874836,0.13718587,0.13936013,,,,
827, 06/17/2020, 15:30:00," ""...""",0.11255406,0.12221317,0.11998579,,,,
826, 06/17/2020, 15:40:00," ""...""",0.10847126,0.11306846,0.11133058,,,,
825, 06/17/2020, 15:50:00," ""...""",0.09807494,0.10450523,0.11260738,,,,
824, 06/17/2020, 16:00:00," ""...""",0.12033149,0.12364037,0.12535889,,,,
823, 06/17/2020, 16:10:00," ""...""",0.13713928,0.13811859,0.14597446,,,,
822, 06/17/2020, 16:20:00," ""...""",0.1427855,0.14109363,0.14513507,,,,
821, 06/17/2020, 16:30:00," ""...""",0.10499802,0.10515558,0.11028949,,,,
820, 06/17/2020, 16:40:00," ""...""",0.08634342,0.09249041,0.09676339,,,,
819, 06/17/2020, 16:50:00," ""...""",0.08748018,0.0906483,0.0919454,,,,
818, 06/17/2020, 17:00:00," ""...""",0.14544705,0.15179314,0.15227902,,,,
817, 06/17/2020, 17:10:00," ""...""",0.13200697,0.13780923,0.14099655,,,,
816, 06/17/2020, 17:20:00," ""...""",0.11604022,0.11792238,0.12532097,,,,
815, 06/17/2020, 17:30:00," ""...""",0.11188366,0.11435962,0.11919588,,,,
814, 06/17/2020, 17:40:00," ""...""",0.08746386,0.09240814,0.09610228,,,,
813, 06/17/2020, 17:50:00," ""...""",0.09250718,0.08796859,0.09349427,,,,
812, 06/17/2020, 18:00:00," ""...""",0.07651793,0.07489343,0.07501473,,,,
811, 06/17/2020, 18:10:00," ""...""",0.08808753,0.08946286,0.08755002,,,,
810, 06/17/2020, 18:20:00," ""...""",0.10840404,0.11405523,0.115932,,,,
809, 06/17/2020, 18:30:00," ""...""",0.07741293,0.0795152,0.08118164,,,,
808, 06/17/2020, 18:40:00," ""...""",0.09094368,0.09882852,0.09634196,,,,
807, 06/17/2020, 18:50:00," ""...""",0.1095941,0.110985,0.11393925,,,,
806, 06/17/2020, 19:00:00," ""...""",0.0830483,0.0878837,0.08812384,,,,
805, 06/17/2020, 19:10:00," ""...""",0.1210214,0.13025957,0.12831245,,,,
804, 06/17/2020, 19:20:00," ""...""",0.10061533,0.11048783,0.11234041,,,,
803, 06/17/2020, 19:30:00," ""...""",0.06245201,0.06716461,0.06013039,,,,
802, 06/17/2020, 19:40:00," ""...""",0.09356371,0.09565316,0.10408637,,,,
801, 06/17/2020, 19:50:00," ""...""",0.08800299,0.09668081,0.09709038,,,,
800, 06/17/2020, 20:00:00," ""...""",0.10108037,0.10896404,0.11044507,,,,
799, 06/17/2020, 20:10:00," ""...""",0.09363415,0.09600087,0.09932429,,,,
798, 06/17/2020, 20:20:00," ""...""",0.09246132,0.0918645,0.08717278,,,,
797, 06/17/2020, 20:30:00," ""...""",0.04954043,0.04545154,0.04595594,,,,
796, 06/17/2020, 20:40:00," ""...""",0.01731638,0.0078158,0.00886859,,,,
795, 06/17/2020, 20:50:00," ""...""",0.0216082,0.0147735,0.01912138,,,,
794, 06/17/2020, 21:00:00," ""...""",0.0246823,0.01710497,0.01863954,,,,
793, 06/17/2020, 21:10:00," ""...""",0.05027116,0.04089839,0.038999,,,,
792, 06/17/2020, 21:20:00," ""...""",0.02232685,0.0226532,0.01590358,,,,
791, 06/17/2020, 21:30:00," ""...""",0.03385263,0.02687072,0.02201124,,,,
790, 06/17/2020, 21:40:00," ""...""",0.03298276,0.02845748,0.02543691,,,,
789, 06/17/2020, 21:50:00," ""...""",0.02678949,0.02454119,0.02097244,,,,
788, 06/17/2020, 22:00:00," ""...""",0.02874843,0.02441451,0.01992844,,,,
787, 06/17/2020, 22:10:00," ""...""",0.02620884,0.02503919,0.02616979,,,,
786, 06/17/2020, 22:20:00," ""...""",0.02451077,0.0236859,0.01779163,,,,
785, 06/17/2020, 22:30:00," ""...""",0.0189147,0.02237502,0.01799749,,,,
784, 06/17/2020, 22:40:00," ""...""",0.02281318,0.0247799,0.01952012,,,,
783, 06/17/2020, 22:50:00," ""...""",0.14175227,0.14751562,0.14683376,,,,
782, 06/17/2020, 23:00:00," ""...""",0.20874794,0.21792272,0.22363146,,,,
781, 06/17/2020, 23:10:00," ""...""",0.12414023,0.13131826,0.12489782,,,,
780, 06/17/2020, 23:20:00," ""...""",0.22652024,0.23919074,0.23814577,,,,
