FileType, Version, Date, Time, ChartField, TimeSource, Recorder, Scale, Units, ChartSubType, BaseScaling,,,,,,,,,
LDP,1, 06/23/2020, 09:13:21, Record, Internal,5, Kilo, Primary, Unknown, Primary,,,,,,,,,
RecNum, Date, Time, Phase, Status,,,,,,,,,,,,,,,
-1,1,2,-1,3,,,,,,,,,,,,,,,
HRM25_IB," ""HRM3_IB"""," ""HRM27_IB"""," ""HRM5_IB"""," ""HRM7_IB"""," ""HRM9_IB"""," ""HRM11_IB"""," ""HRM13_IB"""," ""HRM15_IB"""," ""HRM17_IB"""," ""HRM19_IB"""," ""HRM21_IB"""," ""HRM23_IB"""," ""HRM29_IB"""," ""HRM31_IB"""," ""HRM33_IB""",,,,
4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,
DeviceID, FID, TID, Form, CTR, CTRN, PTR, LDAR,,,,,,,,,,,,
EPSOL-KITAGAWA," ""SEL-735-R203-V0-Z101100-D20190828"""," ""SUBSTATION""",9,4000,4000,1000,60,,,,,,,,,,,,
ChannelName, ChannelFunction, ChannelUnits, ChannelRule, ChannelMult, ChannelRollover, ChannelScale,,,,,,,,,,,,,
14357, 06/11/2020, 12:27:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14356, 06/11/2020, 12:28:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14355, 06/11/2020, 12:29:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14354, 06/11/2020, 12:30:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14353, 06/11/2020, 12:31:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14352, 06/11/2020, 12:32:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14351, 06/11/2020, 12:33:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14350, 06/11/2020, 12:34:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14349, 06/11/2020, 12:35:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14348, 06/11/2020, 12:36:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14347, 06/11/2020, 12:37:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14346, 06/11/2020, 12:38:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14345, 06/11/2020, 12:39:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14344, 06/11/2020, 12:40:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14343, 06/11/2020, 12:41:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14342, 06/11/2020, 12:42:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14341, 06/11/2020, 12:43:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14340, 06/11/2020, 12:44:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14339, 06/11/2020, 12:45:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14338, 06/11/2020, 12:46:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14337, 06/11/2020, 12:47:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14336, 06/11/2020, 12:48:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14335, 06/11/2020, 12:49:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14334, 06/11/2020, 12:50:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14333, 06/11/2020, 12:51:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14332, 06/11/2020, 12:52:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14331, 06/11/2020, 12:53:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14330, 06/11/2020, 12:54:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14329, 06/11/2020, 12:55:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14328, 06/11/2020, 12:56:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14327, 06/11/2020, 12:57:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14326, 06/11/2020, 12:58:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14325, 06/11/2020, 12:59:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14324, 06/11/2020, 13:00:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14323, 06/11/2020, 13:01:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14322, 06/11/2020, 13:02:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14321, 06/11/2020, 13:03:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14320, 06/11/2020, 13:04:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14319, 06/11/2020, 13:05:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14318, 06/11/2020, 13:06:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14317, 06/11/2020, 13:07:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14316, 06/11/2020, 13:08:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14315, 06/11/2020, 13:09:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14314, 06/11/2020, 13:10:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14313, 06/11/2020, 13:11:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14312, 06/11/2020, 13:12:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14311, 06/11/2020, 13:13:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14310, 06/11/2020, 13:14:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14309, 06/11/2020, 13:15:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14308, 06/11/2020, 13:16:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14307, 06/11/2020, 13:17:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14306, 06/11/2020, 13:18:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14305, 06/11/2020, 13:19:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14304, 06/11/2020, 13:20:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14303, 06/11/2020, 13:21:00," ""...""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
